DATE OF VISIT,COMPANY,LATITUDE,LONGITUDE,LOCATION,SECTOR,DESCRIPTION,ACTIVITY,DOCUMENT, PROCESSING FEES , PERMIT FEES , TOTAL , PAID / UNPAID ,STATUS,OFFICER,OFFICER,PERSONNEL,DRIVER
21-Jun-24,MANSUKI GHANA LIMITED,,,DAWHENYA,MANUFACTURING,EXISTING COSMETIC PRODUCTION PLANT,MONITORING,ENFORCEMENT NOTICE,,,,UNPAID,PAYMENT RECEIPT PENDING,HANNAH,IVY,NELSON,ASARE
21-Jun-24,AA AMINO SCRAP LIMITED,,,DAWHENYA,GENERAL CONSTRUCTION,EXISTING SCRAP YARD PROJECT,MONITORING,ENFORCEMENT NOTICE,,,,NOT ISSUED,NO PERMIT,HANNAH,IVY,NELSON,ASARE
21-Jun-24,GOODNESS ENERGY,,,DAWHENYA,ENERGY,EXISTING FUEL SERVICE STATION,VERIFICATION,AER,,, GHC -   ,NOT ISSUED,PAYMENT RECEIPT PENDING,HANNAH,IVY,NELSON,ASARE
21-Jun-24,CHRIS ONE ICE,,,DAWHENYA,MANUFACTURING,EXISTING SACHET WATER PRODUCTION FACILITY,SCREENING,FORM EA 1, GHC 600.00 ," GHC 1,200.00 "," GHC 1,800.00 ",PAID,NEIGBOURHOOD CONSULTATION PENDING,HANNAH,IVY,NELSON,ASARE
21-Jun-24,ATC GHANA LIMITED,,,DAWHENYA,GENERAL CONSTRUCTION,EXISTING TELECOMMUNICATION MAST,VERIFICATION,LETTER, GHC 920.00 ," GHC 3,000.00 "," GHC 3,920.00 ",PAID,DRAFT SCHEDULE,HANNAH,IVY,NELSON,ASARE
21-Jun-24,ATC GHANA LIMITED,,,COMMUNITY 25,GENERAL CONSTRUCTION,EXISTING TELECOMMUNICATION MAST,VERIFICATION,LETTER, GHC 920.00 ," GHC 3,000.00 "," GHC 3,920.00 ",PAID,DRAFT SCHEDULE,HANNAH,IVY,NELSON,ASARE
24-Jun-24,WEST COAST FISHERIES LIMITED,,,PRAMPRAM,AGRICULTURE,EXISTING CATFISH FARMING PROJECT,MONITORING,ACTION PLAN,,, GHC -   ,NOT ISSUED,VALID PERMIT,KLENAM,MONTE,HANNAH,FOSTER
24-Jun-24,KONKORD IODIZED SEA SALT,,,MIOTSO,GENERAL CONSTRUCTION,EXISTING WAREHOUSE FOR THE STORAGE OF IODIZED SALT,MONITORING,ENFORCEMENT NOTICE,,, GHC -   ,NOT ISSUED,NO PERMIT,KLENAM,MONTE,HANNAH,FOSTER
24-Jun-24,RANAAN FISH FEED WEST AFRICA LIMITED,,,MIOTSO,GENERAL CONSTRUCTION,EXISTING WAREHOUSE FOR THE STORAGE OF FISH FEED ,MONITORING,ENFORCEMENT NOTICE,,, GHC -   ,NOT ISSUED,NO PERMIT,KLENAM,MONTE,HANNAH,FOSTER
24-Jun-24,RENO ENTERPRISE,,,MIOTSO,MANUFACTURING,PROPOSED PVC PIPES MANUFACTURING PLANT PROJECT,MONITORING,ENFORCEMENT NOTICE,,, GHC -   ,NOT ISSUED,NO PERMIT,KLENAM,MONTE,HANNAH,FOSTER
24-Jun-24,SNOASEA COMPANY LIMITED,,,MIOTSO,MANUFACTURING,EXISTING REFRIDGERATOR ASSEMBLING PLANT ,MONITORING,ENVIRONMENTAL PERMIT,,, GHC -   ,NOT ISSUED,VALID PERMIT,KLENAM,MONTE,HANNAH,FOSTER
24-Jun-24,PALA INDUSTRIES LIMITED,,,MIOTSO,MANUFACTURING,EXISTING GLASS DOOR MANUFACTURING PLANT,MONITORING,ENVIRONMENTAL PERMIT,,, GHC -   ,NOT ISSUED,VALID PERMIT,KLENAM,MONTE,HANNAH,FOSTER
26-Jun-24,RICHARD CLOTTEY OMANI-MENSAH,5.8832854,-0.0753831,DODOWA,GENERAL CONSTRUCTION,PROPOSED SHOPS AND RESIDENTIAL APARTMENTS PROJECT,SCREENING,FORM EA 1,,, GHC -   ,NOT ISSUED,PAYMENT RECEIPT PENDING,KLENAM,HANNAH,FRED,FOSTER
26-Jun-24,YUSSIF USHA,,,DODOWA,GENERAL CONSTRUCTION,PROPOSED RESIDENTIAL APARTMENTS PROJECT,SCREENING,FORM EA 1,,, GHC -   ,NOT ISSUED,PAYMENT RECEIPT PENDING,KLENAM,HANNAH,FRED,FOSTER
26-Jun-24,DAVID AZUPIO,,,DODOWA,ENERGY,EXISTING LPG REFILLING STATION,VERIFICATION,AER,,, GHC -   ,NOT ISSUED,PAYMENT RECEIPT PENDING,KLENAM,HANNAH,FRED,FOSTER
26-Jun-24,DANOFF COMPANY LIMITED,,,DODOWA,GENERAL CONSTRUCTION,EXISTING WAREHOUSE FOR THE STORAGE OF SHIP CLEANING PRODUCTS,VERIFICATION,LETTER,,, GHC -   ,NOT ISSUED,PAYMENT RECEIPT PENDING,KLENAM,HANNAH,FRED,FOSTER
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
